,participant_id,experiment_nr,step_count,gt_step_time,us_step_time,gt_cycle_time,us_cycle_time,gt_cadence,us_cadence,gt_ambulation_time,us_ambulation_time,gt_velocity,us_velocity,gt_step_length,us_step_length,uuid_name,age
85,p33,1,7,705.0,710.0,1380.0,1400.0,85.0,84.50704225352113,4940.0,4970.0,84.8,84.76136820925554,59.86,58.06153722334004,p33,64.0
86,p33,2,8,480.0,472.0,950.0,945.0,126.1,126.88821752265862,3330.0,3310.0,130.2,127.27009063444108,61.82,61.08964350453172,p33,64.0
87,p33,3,8,655.0,657.0,1320.0,1351.6666666666667,91.5,91.30434782608695,4590.0,4600.0,93.2,91.5791304347826,61.045,59.52643478260869,p33,64.0
88,p04,0,5,635.0,630.0,1255.0,1223.3333333333333,94.7,95.23809523809524,3800.0,3780.0,97.9,111.44550264550264,62.015,70.21066666666667,p04,30.0
89,p04,1,8,670.0,665.0,1325.0,1328.3333333333333,89.9,90.12875536480688,4670.0,4660.0,90.5,90.4,60.325,59.66400000000001,p04,30.0
90,p04,2,8,565.0,552.0,1125.0,1095.0,105.8,108.52713178294572,3970.0,3870.0,107.1,108.85374677002584,60.7,59.86956072351421,p04,30.0
91,p04,3,8,755.0,754.0,1525.0,1518.3333333333333,79.5,79.54545454545456,5280.0,5280.0,79.6,79.78484848484848,59.945,60.63648484848485,p04,30.0
92,p09,0,7,575.0,571.0,1135.0,1136.0,104.7,104.95626822157436,3440.0,3430.0,130.9,122.81749271137026,75.07,70.00597084548104,p09,31.0
93,p09,1,8,610.0,605.0,1210.0,1215.0,99.1,99.0566037735849,4240.0,4240.0,98.7,99.35471698113209,59.19,60.60637735849056,p09,31.0
94,p09,2,8,535.0,542.0,1060.0,1073.3333333333333,112.9,110.52631578947368,3720.0,3800.0,112.7,110.85894736842104,60.185,58.75524210526316,p09,31.0
95,p09,3,8,645.0,645.0,1290.0,1286.6666666666667,92.7,92.92035398230088,4530.0,4520.0,93.7,93.2,60.435,59.648,p09,31.0
96,p27,0,7,560.0,555.0,1100.0,1102.0,108.1,108.10810810810813,3330.0,3330.0,138.4,126.50570570570572,76.795,68.94560960960962,p27,37.0
97,p27,1,8,665.0,674.0,1335.0,1343.3333333333333,89.9,88.98305084745763,4670.0,4720.0,90.0,89.25084745762713,60.05500000000001,60.69057627118645,p27,37.0
98,p27,2,8,495.0,495.0,995.0,991.6666666666666,120.7,121.03746397694523,3480.0,3470.0,122.7,121.40172910662824,61.045,60.70086455331412,p27,37.0
99,p27,3,8,665.0,670.0,1330.0,1338.3333333333333,90.5,89.55223880597015,4640.0,4690.0,90.9,89.82174840085287,60.120000000000005,59.2823539445629,p27,37.0
100,p14,0,8,530.0,535.0,1055.0,1063.3333333333333,113.8,112.0,3690.0,3750.0,124.2,112.33706666666669,65.44,60.66201600000001,p14,30.0
101,p14,1,8,665.0,654.0,1330.0,1331.6666666666667,90.7,91.70305676855897,4630.0,4580.0,92.1,91.97903930131004,60.620000000000005,57.94679475982532,p14,30.0
102,p14,2,8,495.0,498.0,1000.0,1000.0,120.7,120.34383954154728,3480.0,3490.0,121.6,120.70601719197708,60.295,59.14594842406876,p14,30.0
103,p14,3,8,650.0,658.0,1300.0,1321.6666666666667,92.3,91.10629067245118,4550.0,4610.0,92.4,91.38047722342732,60.06,61.22491973969632,p14,30.0
104,p28,0,8,505.0,507.0,1010.0,1011.6666666666666,119.0,118.30985915492955,3530.0,3550.0,119.7,118.66591549295774,60.545,60.51961690140845,p28,38.0
